RF1CHAR,RF2CHAR,CorrelationNMBR
RF_ALT_HIGH,RF_ALT_HIGH,1.0000
RF_COM_HIGH,RF_ALT_HIGH,0.7500
RF_COM_HIGH,RF_COM_HIGH,1.0000
RF_EQ_HIGH,RF_ALT_HIGH,0.7500
RF_EQ_HIGH,RF_COM_HIGH,0.7500
RF_EQ_HIGH,RF_EQ_HIGH,1.0000
RF_EQ_LOW,RF_ALT_HIGH,0.7500
RF_EQ_LOW,RF_COM_HIGH,0.7500
RF_EQ_LOW,RF_EQ_HIGH,1.0000
RF_EQ_LOW,RF_EQ_LOW,1.0000
RF_EQ_LOW,RF_FX_HIGH,0.2500
RF_EQ_LOW,RF_IR_EUR_10Y,0.0000
RF_EQ_LOW,RF_IR_USD_10Y,0.0000
RF_EQ_LOW,RF_RE_HIGH,1.0000
RF_EQ_LOW,RF_VOLA_HIGH,1.0000
RF_FX_HIGH,RF_ALT_HIGH,0.2500
RF_FX_HIGH,RF_COM_HIGH,0.2500
RF_FX_HIGH,RF_EQ_HIGH,0.2500
RF_FX_HIGH,RF_FX_HIGH,1.0000
RF_FX_HIGH,RF_IR_EUR_10Y,0.0000
RF_INFL_EXP_EUR,RF_ALT_HIGH,0.2500
RF_INFL_EXP_EUR,RF_COM_HIGH,0.2500
RF_INFL_EXP_EUR,RF_EQ_HIGH,0.5000
RF_INFL_EXP_EUR,RF_EQ_LOW,0.5000
RF_INFL_EXP_EUR,RF_FX_HIGH,-0.4000
RF_INFL_EXP_EUR,RF_INFL_EXP_EUR,1.0000
RF_INFL_EXP_EUR,RF_IR_EUR_10Y,0.5000
RF_INFL_EXP_EUR,RF_IR_USD_10Y,0.5000
RF_INFL_EXP_EUR,RF_RE_HIGH,0.2500
RF_INFL_EXP_EUR,RF_VOLA_HIGH,-0.5000
RF_IR_EUR_10Y,RF_ALT_HIGH,0.0000
RF_IR_EUR_10Y,RF_COM_HIGH,0.0000
RF_IR_EUR_10Y,RF_EQ_HIGH,0.0000
RF_IR_EUR_10Y,RF_IR_EUR_10Y,1.0000
RF_IR_USD_10Y,RF_ALT_HIGH,0.0000
RF_IR_USD_10Y,RF_COM_HIGH,0.0000
RF_IR_USD_10Y,RF_EQ_HIGH,0.0000
RF_IR_USD_10Y,RF_FX_HIGH,0.2500
RF_IR_USD_10Y,RF_IR_EUR_10Y,1.0000
RF_IR_USD_10Y,RF_IR_USD_10Y,1.0000
RF_IR_USD_10Y,RF_RE_HIGH,0.0000
RF_IR_USD_10Y,RF_VOLA_HIGH,0.0000
RF_RE_HIGH,RF_ALT_HIGH,0.7500
RF_RE_HIGH,RF_COM_HIGH,0.7500
RF_RE_HIGH,RF_EQ_HIGH,1.0000
RF_RE_HIGH,RF_FX_HIGH,0.2500
RF_RE_HIGH,RF_IR_EUR_10Y,0.0000
RF_RE_HIGH,RF_RE_HIGH,1.0000
RF_VOLA_HIGH,RF_ALT_HIGH,0.2500
RF_VOLA_HIGH,RF_COM_HIGH,-0.2500
RF_VOLA_HIGH,RF_EQ_HIGH,-0.2500
RF_VOLA_HIGH,RF_FX_HIGH,0.2500
RF_VOLA_HIGH,RF_IR_EUR_10Y,0.0000
RF_VOLA_HIGH,RF_RE_HIGH,0.5000
RF_VOLA_HIGH,RF_VOLA_HIGH,1.0000
